string_field_0,string_field_1,string_field_2,double_field_3,date_field_4
Sam,Armstrong,ZR722R,468.48,2020-01-19
Van,Bush,CZ936Z,546.49,2020-01-19
Van,Bullock,SV115V,358.29,2020-01-19
Van,Baldwin,XH723H,780.31,2020-01-19
Van,Buck,ZE122E,192.83,2020-01-19
Van,Barron,TK939K,663.87,2020-01-19
Alex,Burris,XM771M,843.13,2020-01-19
Alex,Adams,CH434H,371.94,2020-01-19
Alex,Caldwell,UC573C,198.8,2020-01-19
Bill,Allison,KL984L,745.2,2020-01-19
Bill,Baker,OR747R,929.8,2020-01-19
Bret,Bell,TK549K,903.2,2020-01-19
Bret,Blevins,HM933M,252.75,2020-01-19
Bret,Bryan,CV221V,585.36,2020-01-19
Bret,Ayala,VO178O,573.82,2020-01-19
Dean,Bishop,BO652O,752.99,2020-01-19
Earl,Barnes,KK287K,995.68,2020-01-19
Earl,Acosta,RG439G,926.71,2020-01-19
Earl,Benjamin,UK872K,656.8,2020-01-19
Earl,Blackwell,II483I,463.64,2020-01-19
Earl,Benson,BH951H,866.45,2020-01-19
Earl,Booker,XZ356Z,199.9,2020-01-19
Earl,Avery,UU539U,645.17,2020-01-19
Earl,Callahan,ZY852Y,616.23,2020-01-19
Earl,Best,GH463H,437.51,2020-01-19
Earl,Blankenship,QV305V,664.18,2020-01-19
Erin,Burt,DY259Y,759.61,2020-01-19
Erin,Beasley,RZ132Z,898.78,2020-01-19
Gert,Arnold,MM599M,670.94,2020-01-19
Gert,Bennett,BS645S,147.75,2020-01-19
Gert,Buckner,VI961I,371.26,2020-01-19
Iris,Aguilar,QD356D,665.82,2020-01-19
Iris,Barnes,IF827F,402.69,2020-01-19
Iris,Barton,PV372V,777.47,2020-01-19
Iris,Bridges,EZ518Z,290.49,2020-01-19
Itoe,Carter,KR194R,538.85,2020-01-19
Itoe,Blanchard,BT240T,941.33,2020-01-19
Ivan,Burton,WI918I,259.91,2020-01-19
Ivan,Ballard,MM380M,851.89,2020-01-19
Ivan,Cabrera,UD265D,594.1,2020-01-19
Jose,Baxter,YV779V,894.18,2020-01-19
Jose,Best,FT580T,699.57,2020-01-19
Jose,Bradford,KK360K,613.42,2020-01-19
Jose,Bush,JZ478Z,445.53,2020-01-19
Jose,Callahan,VQ863Q,105.35,2020-01-19
Juan,Blackwell,EY698Y,334.5,2020-01-19
Juan,Blackwell,QG659G,167.14,2020-01-19
Juan,Cantrell,BD121D,201.27,2020-01-19
Juan,Baker,PG423G,902.57,2020-01-19
Juan,Buckner,RS482S,715.56,2020-01-19
Juan,Barrera,CJ240J,453.79,2020-01-19
Karl,Bruce,QV540V,660.1,2020-01-19
Karl,Battle,QT313T,155.33,2020-01-19
Karl,Allen,UY735Y,583.65,2020-01-19
Karl,Acosta,PH262H,758.88,2020-01-19
Kate,Brooks,SE508E,283.91,2020-01-19
Kirk,Casey,JG915G,290.69,2020-01-19
Kirk,Baxter,RT162T,912.78,2020-01-19
Kirk,Brennan,BK927K,899.34,2020-01-19
Kyle,Byrd,YJ997J,712.21,2020-01-19
Kyle,Branch,WZ556Z,665.88,2020-01-19
Kyle,Bishop,HU436U,961.45,2020-01-19
Kyle,Boyer,VE814E,920.54,2020-01-19
Lili,Carroll,SU355U,434.64,2020-01-19
Lili,Bender,HK580K,740.43,2020-01-19
Lili,Brady,KW246W,250.49,2020-01-19
Lisa,Cannon,NH174H,213.13,2020-01-19
Lisa,Boyle,MR546R,302.15,2020-01-19
Miwa,Arnold,RM569M,196.46,2020-01-19
Miwa,Carey,YF402F,226.42,2020-01-19
Miwa,Carey,IA726A,676.26,2020-01-19
Miwa,Boone,RA638A,376.35,2020-01-19
Nana,Beard,NX341X,307.2,2020-01-19
Nana,Beasley,TF155F,514.34,2020-01-19
Nana,Cannon,VB398B,775.98,2020-01-19
Nate,Best,JK591K,392.51,2020-01-19
Nate,Carrillo,RX1000X,361.91,2020-01-19
Nate,Banks,JG427G,258.73,2020-01-19
Noel,Brooks,DK548K,631.34,2020-01-19
Noel,Austin,FT879T,892.95,2020-01-19
Noel,Carrillo,QS444S,448.41,2020-01-19
Noel,Buck,DU294U,941.47,2020-01-19
Olga,Barlow,BV153V,444.92,2020-01-19
Olga,Beasley,DZ649Z,161.99,2020-01-19
Olga,Barron,SA132A,385.75,2020-01-19
Omar,Black,DZ835Z,587.91,2020-01-19
Otto,Burke,WH537H,511.65,2020-01-19
Otto,Baker,DN386N,775.93,2020-01-19
Otto,Barnes,KJ379J,523.99,2020-01-19
Otto,Battle,ZQ431Q,300.28,2020-01-19
Otto,Brennan,JH883H,812.35,2020-01-19
Otto,Blackwell,QO843O,151.89,2020-01-19
Otto,Bishop,MX895X,359.87,2020-01-19
Rita,Boyle,XP812P,510.23,2020-01-19
Rita,Burnett,KH538H,848.67,2020-01-19
Rita,Case,AJ834J,164.91,2020-01-19
Rita,Alford,FN288N,969.98,2020-01-19
Rita,Adkins,BC397C,744.12,2020-01-19
Rose,Boyle,WG637G,145.12,2020-01-19
Rose,Acevedo,CG721G,283.73,2020-01-19
Rose,Buckley,NO388O,947.78,2020-01-19
Rose,Armstrong,CX408X,428.52,2020-01-19
Rose,Banks,JR769R,538.19,2020-01-19
Rose,Boyd,FJ371J,337.55,2020-01-19
Rose,Bond,CQ950Q,817.45,2020-01-19
Rose,Calhoun,AL452L,777.4,2020-01-19
Rose,Barlow,RD649D,369.79,2020-01-19
Stan,Burnett,KF781F,354.41,2020-01-19
Stan,Bradford,JL117L,770.37,2020-01-19
Tony,Cameron,FD312D,846.2,2020-01-19
Tony,Armstrong,TM620M,292.35,2020-01-19
Tony,Alvarado,LZ375Z,406.81,2020-01-19
Yumi,Avila,GB840B,269.23,2020-01-19
Yumi,Barnes,QC174C,592.81,2020-01-19
Yumi,Carrillo,QH749H,859.31,2020-01-19
Yumi,Caldwell,FG759G,203.24,2020-01-19
Yumi,Acosta,XT270T,197.38,2020-01-19
Akane,Adams,QB995B,278.44,2020-01-19
Akane,Austin,KW711W,483.22,2020-01-19
Barry,Blake,NV797V,988.49,2020-01-19
Barry,Cameron,VF846F,663.68,2020-01-19
Barry,Ballard,FN271N,494.92,2020-01-19
Barry,Carver,YY430Y,835.18,2020-01-19
Barry,Blair,GW187W,420.87,2020-01-19
Beryl,Boone,ET318T,534.68,2020-01-19
Beryl,Aguilar,NI548I,140.98,2020-01-19
Beryl,Bray,NM424M,762.21,2020-01-19
Beryl,Boyd,DC180C,214.16,2020-01-19
Beryl,Allen,QD550D,933.82,2020-01-19
Chris,Barnett,NF949F,281.2,2020-01-19
Chris,Bullock,GT518T,819.4,2020-01-19
Cindy,Camacho,KV835V,452.95,2020-01-19
Cindy,Baldwin,KO314O,782.98,2020-01-19
Cindy,Bruce,OI799I,642.75,2020-01-19
Cindy,Cardenas,WQ125Q,177.11,2020-01-19
Cindy,Benson,WH285H,422.41,2020-01-19
Cindy,Bowen,IU679U,260.7,2020-01-19
Cindy,Barton,HF225F,560.85,2020-01-19
Danny,Calderon,EX404X,140.93,2020-01-19
Danny,Bradford,UX389X,936.51,2020-01-19
Debby,Carrillo,FR110R,875.44,2020-01-19
Debby,Benton,HX606X,940.52,2020-01-19
Debby,Barnes,DH375H,929.43,2020-01-19
Debby,Carver,GQ477Q,238.68,2020-01-19
Dolly,Bond,SI733I,623.53,2020-01-19
Dolly,Bond,OD212D,680.86,2020-01-19
Dolly,Burnett,PG828G,761.86,2020-01-19
Dolly,Buckley,GD847D,966.47,2020-01-19
Emily,Carlson,PA109A,517.88,2020-01-19
Emily,Barlow,MB932B,239.18,2020-01-19
Emily,Burnett,GN609N,573.98,2020-01-19
Emily,Buckley,LW418W,449.29,2020-01-19
Emily,Bolton,YO459O,609.58,2020-01-19
Erika,Avery,PE291E,751.45,2020-01-19
Erika,Atkins,TJ575J,497.4,2020-01-19
Erika,Anderson,CF916F,202.72,2020-01-19
Felix,Booth,AE838E,148.53,2020-01-19
Felix,Bruce,IZ351Z,543.37,2020-01-19
Felix,Anthony,KL269L,243.89,2020-01-19
Felix,Booth,PN434N,489.25,2020-01-19
Grace,Burt,PE686E,130.56,2020-01-19
Grace,Buckley,AP947P,780.67,2020-01-19
Grace,Buckner,ZG504G,690.29,2020-01-19
Hanna,Bray,UK979K,230.21,2020-01-19
Hanna,Baxter,KE469E,644.93,2020-01-19
Hanna,Carey,KW689W,255.4,2020-01-19
Hanna,Beach,SD621D,373.19,2020-01-19
Hanna,Barton,YE975E,982.17,2020-01-19
Henri,Bartlett,KR567R,905.45,2020-01-19
Henri,Barnett,DQ322Q,109.89,2020-01-19
Henri,Casey,JW104W,664.71,2020-01-19
Irene,Bray,WW536W,859.86,2020-01-19
Irene,Battle,OA287A,579.69,2020-01-19
Irene,Camacho,ME415E,681.43,2020-01-19
Isaac,Arnold,JS632S,845.94,2020-01-19
Isaac,Boyer,OA871A,201.92,2020-01-19
Isaac,Buchanan,AZ858Z,889.37,2020-01-19
Isaac,Baldwin,NV349V,694.25,2020-01-19
Isaac,Arnold,WB630B,596.32,2020-01-19
Isaac,Beard,UI920I,214.8,2020-01-19
Jerry,Carroll,KK683K,887.98,2020-01-19
Jerry,Butler,RC972C,680.38,2020-01-19
Joyce,Burris,HK435K,864.1,2020-01-19
Joyce,Cameron,SH357H,924.1,2020-01-19
Joyce,Battle,SR276R,874.58,2020-01-19
Joyce,Barron,CS768S,150.74,2020-01-19
Joyce,Burris,VM212M,539.55,2020-01-19
Junko,Beasley,GK423K,514.15,2020-01-19
Junko,Bradshaw,SH397H,329.33,2020-01-19
Kaori,Adams,LK620K,875.34,2020-01-19
Kaori,Alford,RJ515J,447.66,2020-01-19
Karen,Carver,VJ519J,776.69,2020-01-19
Karen,Berg,SD979D,206.98,2020-01-19
Karen,Ball,SN542N,497.63,2020-01-19
Karen,Burris,KA108A,634.86,2020-01-19
Larry,Barron,PI987I,649.59,2020-01-19
Marco,Benton,UU951U,910.8,2020-01-19
Maria,Blevins,JZ241Z,586.61,2020-01-19
Maria,Brock,ON111N,743.71,2020-01-19
Maria,Bradshaw,HN135N,992.87,2020-01-19
Mieko,Blackwell,BD197D,975.73,2020-01-19
Mieko,Baxter,YX356X,912.97,2020-01-19
Mieko,Baldwin,CM381M,423.55,2020-01-19
Mindy,Blair,SB170B,411.19,2020-01-19
Mindy,Brooks,HT829T,536.43,2020-01-19
Mindy,Carroll,ZH742H,510.12,2020-01-19
Mindy,Beasley,TK708K,663.14,2020-01-19
Naoko,Butler,TO605O,766.24,2020-01-19
Naoko,Acosta,PG157G,801.99,2020-01-19
Naoko,Briggs,GD329D,814.53,2020-01-19
Naoko,Bowman,GC455C,974.41,2020-01-19
Oscar,Ballard,QH963H,699.42,2020-01-19
Oscar,Brennan,BF382F,272.35,2020-01-19
Oscar,Berger,GY115Y,333.95,2020-01-19
Pablo,Ball,GB717B,947.4,2020-01-19
Patty,Bright,GT749T,965.54,2020-01-19
Patty,Bernard,KG675G,699.22,2020-01-19
Paula,Best,HW484W,312.45,2020-01-19
Paula,Calderon,UB702B,631.27,2020-01-19
Paula,Casey,HL229L,412.19,2020-01-19
Paula,Ballard,IH775H,753.58,2020-01-19
Paula,Burns,MB894B,404.66,2020-01-19
Peter,Benson,EG711G,819.85,2020-01-19
Peter,Arnold,EH863H,121.51,2020-01-19
Peter,Blackwell,SN572N,661.97,2020-01-19
Reina,Burks,OI529I,417.18,2020-01-19
Reina,Barr,CK533K,159.95,2020-01-19
Reina,Carrillo,WI588I,665.28,2020-01-19
Reina,Bishop,RT665T,813.34,2020-01-19
Sally,Bowers,ZS960S,351.23,2020-01-19
Sally,Aguirre,MM777M,637.66,2020-01-19
Sally,Alvarez,CC275C,764.15,2020-01-19
Sandy,Campbell,VS799S,669.55,2020-01-19
Sandy,Cantrell,CD290D,887.31,2020-01-19
Tammy,Anderson,KH169H,840.74,2020-01-19
Tammy,Bradshaw,VJ832J,369.55,2020-01-19
Tammy,Bartlett,TU386U,792.85,2020-01-19
Tanya,Bruce,BM978M,713.64,2020-01-19
Teddy,Avery,CA957A,410.72,2020-01-19
Teddy,Alexander,RT922T,335.55,2020-01-19
Teddy,Buckley,ZY397Y,937.7,2020-01-19
Teddy,Carlson,OA587A,689.41,2020-01-19
Teddy,Buckner,MY960Y,385.52,2020-01-19
Teddy,Baird,QF512F,755.92,2020-01-19
Tomas,Bryan,SF188F,359.94,2020-01-19
Tomas,Booker,UA884A,907.92,2020-01-19
Tomas,Bowen,UF869F,356.13,2020-01-19
Tomas,Buckner,EU905U,989.1,2020-01-19
Tomas,Callahan,KW535W,225.58,2020-01-19
Vicky,Buckley,GH353H,883.43,2020-01-19
Vicky,Carver,RM813M,830.91,2020-01-19
Vince,Bender,BV295V,200.54,2020-01-19
Wanda,Bean,XY236Y,237.8,2020-01-19
Wanda,Campos,AX410X,888.37,2020-01-19
Wanda,Acevedo,NH728H,344.69,2020-01-19
Wendy,Blanchard,DM835M,167.4,2020-01-19
Wendy,Briggs,OZ653Z,709.38,2020-01-19
Wendy,Barry,HY807Y,781.31,2020-01-19
Wendy,Allen,LL482L,120.44,2020-01-19
Wilma,Beard,OS198S,289.84,2020-01-19
Wilma,Bridges,NJ297J,286.87,2020-01-19
Youko,Anthony,LX971X,690.24,2020-01-19
Arlene,Carlson,LO582O,531.41,2020-01-19
Arlene,Buchanan,BN197N,945.61,2020-01-19
Arthur,Campbell,TI900I,559.97,2020-01-19
Arthur,Barrera,WQ268Q,682.12,2020-01-19
Arthur,Albert,TB981B,822.19,2020-01-19
Arthur,Barry,EX330X,641.79,2020-01-19
Bertha,Armstrong,YY779Y,241.38,2020-01-19
Bertha,Abbott,BM642M,188.3,2020-01-19
Bertha,Booth,XN976N,703.37,2020-01-19
Bertha,Acevedo,CC381C,173.16,2020-01-19
Bonnie,Calderon,CS445S,750.78,2020-01-19
Bonnie,Abbott,DP527P,822.82,2020-01-19
Bonnie,Berg,XT396T,183.69,2020-01-19
Chiaki,Bender,QG522G,547.79,2020-01-19
Chiaki,Case,PJ280J,863.52,2020-01-19
Chiaki,Bush,LS236S,424.53,2020-01-19
Chiaki,Carrillo,MA238A,567.27,2020-01-19
Dennis,Cardenas,XV193V,231.59,2020-01-19
Dennis,Campos,KN494N,859.87,2020-01-19
Dennis,Acevedo,DL744L,695.44,2020-01-19
Dennis,Bryant,BU816U,970.65,2020-01-19
Dennis,Blake,VZ361Z,292.3,2020-01-19
Dennis,Acevedo,ZJ283J,166.41,2020-01-19
Etsuko,Armstrong,GL133L,261.9,2020-01-19
Etsuko,Bowers,ZN718N,497.33,2020-01-19
Fabian,Castaneda,TB186B,495.58,2020-01-19
Fabian,Andrews,BA640A,564.79,2020-01-19
Fabian,Bass,JZ866Z,302.68,2020-01-19
Gaston,Barker,KK680K,511.83,2020-01-19
Gaston,Barr,PX534X,287.16,2020-01-19
Gaston,Armstrong,PI415I,377.17,2020-01-19
Gaston,Alexander,PD980D,180.81,2020-01-19
Gordon,Cabrera,FA304A,356.63,2020-01-19
Gordon,Bowen,HO366O,410.99,2020-01-19
Gustav,Campos,YV589V,349.28,2020-01-19
Gustav,Berger,WX254X,866.61,2020-01-19
Gustav,Case,WP978P,979.11,2020-01-19
Gustav,Burris,TH512H,968.46,2020-01-19
Gustav,Brock,YO892O,313.47,2020-01-19
Gustav,Burton,QZ595Z,223.63,2020-01-19
Harvey,Baldwin,QT128T,700.1,2020-01-19
Harvey,Black,AI800I,630.4,2020-01-19
Helene,Arnold,JL207L,106.8,2020-01-19
Helene,Ballard,KZ294Z,560.21,2020-01-19
Helene,Brown,OA868A,541.5,2020-01-19
Hitomi,Barker,OT316T,613.43,2020-01-19
Hitomi,Bernard,ML897L,330.51,2020-01-19
Isabel,Cabrera,DC604C,793.88,2020-01-19
Isabel,Adams,BS693S,840.13,2020-01-19
Isabel,Carney,VD226D,794.32,2020-01-19
Jeanne,Benton,KG995G,400.12,2020-01-19
Jeanne,Bradshaw,PH466H,332.32,2020-01-19
Jeanne,Buchanan,CL105L,100.54,2020-01-19
Kumiko,Bryan,UF979F,966.65,2020-01-19
Kumiko,Bray,ZI997I,284.23,2020-01-19
Kumiko,Barnes,TI229I,265.28,2020-01-19
Leslie,Alford,CE632E,925.7,2020-01-19
Leslie,Bentley,TU372U,739.45,2020-01-19
Leslie,Browning,LI702I,356.99,2020-01-19
Miharu,Bowman,AI166I,251.93,2020-01-19
Miharu,Bates,WL305L,725.52,2020-01-19
Miyako,Allen,QN763N,728.5,2020-01-19
Miyako,Case,WM394M,286.22,2020-01-19
Miyako,Camacho,FZ268Z,630.44,2020-01-19
Miyuki,Battle,FN835N,932.99,2020-01-19
Miyuki,Allison,LA370A,726.3,2020-01-19
Miyuki,Brady,TE583E,967.52,2020-01-19
Nadine,Barrett,ID193D,942.1,2020-01-19
Nadine,Brennan,WT407T,934.12,2020-01-19
Nadine,Brady,QD115D,881.72,2020-01-19
Nadine,Andrews,UP616P,565.23,2020-01-19
Nanaho,Benson,JC269C,733.63,2020-01-19
Nanaho,Acosta,SK506K,620.24,2020-01-19
Nanaho,Carter,JQ791Q,142.39,2020-01-19
Nanaho,Bradley,LC714C,593.98,2020-01-19
Nicole,Arnold,AV484V,363.13,2020-01-19
Nicole,Barker,HA766A,396.9,2020-01-19
Nicole,Calhoun,GG910G,884.11,2020-01-19
Odette,Carpenter,OV899V,416.68,2020-01-19
Odette,Albert,NF540F,155.45,2020-01-19
Odette,Alvarez,MP529P,163.82,2020-01-19
Paloma,Bean,EB610B,164.23,2020-01-19
Paloma,Alvarado,JM157M,770.88,2020-01-19
Paloma,Bowers,MM432M,411.45,2020-01-19
Rafael,Baxter,VY895Y,155.44,2020-01-19
Rafael,Bowers,RI881I,997.54,2020-01-19
Rafael,Burt,QT367T,191.83,2020-01-19
Sayuri,Bean,GQ875Q,359.39,2020-01-19
Sayuri,Abbott,EA339A,323.11,2020-01-19
Sayuri,Bradshaw,DY921Y,843.22,2020-01-19
Sayuri,Brown,ZO330O,365.52,2020-01-19
Sayuri,Bell,WY743Y,688.55,2020-01-19
Teresa,Bolton,CX349X,117.69,2020-01-19
Teresa,Baldwin,JF374F,894.93,2020-01-19
Teresa,Bruce,LA287A,545.27,2020-01-19
Teresa,Benjamin,UO359O,885.72,2020-01-19
Toshie,Booth,JG365G,587.49,2020-01-19
Toshie,Boone,WT106T,601.33,2020-01-19
Toshie,Campos,AF253F,215.61,2020-01-19
Toshie,Cain,SZ852Z,702.38,2020-01-19
Victor,Bolton,ZK480K,223.1,2020-01-19
Victor,Beard,KB354B,122.56,2020-01-19
Victor,Branch,VJ589J,379.84,2020-01-19
Walter,Bowen,CA100A,529.81,2020-01-19
Walter,Aguirre,OS839S,669.34,2020-01-19
Walter,Arnold,QV439V,541.56,2020-01-19
Walter,Brady,HN456N,953.57,2020-01-19
Walter,Buchanan,JP166P,401.73,2020-01-19
Walter,Bullock,SC929C,190.75,2020-01-19
Walter,Cabrera,RN728N,777.19,2020-01-19
Alberto,Bradley,TW147W,228.24,2020-01-19
Alberto,Burnett,HP710P,560.55,2020-01-19
Alberto,Bird,HC968C,444.6,2020-01-19
Alberto,Ballard,MT514T,300.18,2020-01-19
Alberto,Adams,YP924P,186.42,2020-01-19
Alberto,Albert,LQ234Q,796.22,2020-01-19
Alberto,Barlow,ZG870G,744.6,2020-01-19
Allison,Ball,WT217T,701.98,2020-01-19
Allison,Aguilar,ZV279V,152.42,2020-01-19
Chantal,Aguilar,KI810I,211.32,2020-01-19
Chantal,Ayala,JP804P,816.45,2020-01-19
Chantal,Buckner,GM304M,490.5,2020-01-19
Charley,Abbott,IO662O,101.7,2020-01-19
Charley,Bean,SK230K,759.68,2020-01-19
Charley,Camacho,YU595U,702.33,2020-01-19
Charley,Burns,DN731N,617.4,2020-01-19
Edouard,Barron,KV267V,799.25,2020-01-19
Edouard,Bradley,SJ280J,811.91,2020-01-19
Edouard,Brewer,SL748L,779.69,2020-01-19
Edouard,Andrews,FN878N,532.55,2020-01-19
Edouard,Branch,DT372T,919.74,2020-01-19
Edouard,Ball,XO914O,886.68,2020-01-19
Ernesto,Brady,DP391P,401.68,2020-01-19
Ernesto,Bonner,SK949K,714.48,2020-01-19
Ernesto,Brady,OO304O,245.51,2020-01-19
Ernesto,Bernard,LV573V,475.35,2020-01-19
Ernesto,Byers,GO203O,681.17,2020-01-19
Ernesto,Anthony,SN804N,183.97,2020-01-19
Frances,Bradshaw,TX810X,716.15,2020-01-19
Frances,Brock,HS138S,602.52,2020-01-19
Hermine,Boyer,JQ405Q,570.34,2020-01-19
Hermine,Blanchard,WT266T,352.93,2020-01-19
Hermine,Cantrell,LW939W,582.52,2020-01-19
Hermine,Anthony,VY954Y,114.98,2020-01-19
Isidore,Carpenter,JR470R,232.65,2020-01-19
Isidore,Carey,VV308V,343.75,2020-01-19
Katrina,Cantrell,DU440U,143.95,2020-01-19
Katrina,Allison,WD101D,636.54,2020-01-19
Lorenzo,Brady,LL260L,527.5,2020-01-19
Lorenzo,Benson,DF289F,224.85,2020-01-19
Michael,Burnett,GU692U,964.28,2020-01-19
Michael,Callahan,SG894G,879.91,2020-01-19
Michael,Atkinson,JZ858Z,748.9,2020-01-19
Michael,Barker,FC589C,576.98,2020-01-19
Michiyo,Bright,YU525U,308.85,2020-01-19
Michiyo,Brewer,NW296W,825.82,2020-01-19
Michiyo,Beasley,CE483E,818.61,2020-01-19
Michiyo,Ball,JF738F,664.94,2020-01-19
Michiyo,Baird,IM327M,819.12,2020-01-19
Ophelia,Berry,EX172X,650.23,2020-01-19
Rebekah,Booth,ZL731L,473.57,2020-01-19
Rebekah,Beck,LV278V,693.22,2020-01-19
Richard,Bush,XJ687J,823.71,2020-01-19
Richard,Acevedo,CK324K,118.93,2020-01-19
Richard,Booth,VD693D,410.95,2020-01-19
Richard,Boyle,TG392G,751.76,2020-01-19
Richard,Buck,KL797L,763.14,2020-01-19
Sachiko,Calderon,TA295A,635.19,2020-01-19
Sachiko,Berry,ER668R,662.24,2020-01-19
Valerie,Butler,IS436S,479.62,2020-01-19
Valerie,Brady,EK878K,495.12,2020-01-19
Wilfred,Blevins,KO248O,128.37,2020-01-19
Wilfred,Boone,VW932W,890.42,2020-01-19
Wilfred,Bryant,PS646S,815.42,2020-01-19
Wilfred,Brown,PE949E,922.21,2020-01-19
William,Bowers,IS460S,555.19,2020-01-19
William,Carroll,KN489N,926.26,2020-01-19
William,Abbott,IT731T,236.87,2020-01-19
Danielle,Byers,BZ561Z,203.57,2020-01-19
Florence,Camacho,ZR221R,304.97,2020-01-19
Franklin,Avery,EB819B,650.51,2020-01-19
Franklin,Carlson,IF100F,999.29,2020-01-19
Franklin,Burgess,CK388K,407.7,2020-01-19
Gabielle,Burch,DK170K,223.26,2020-01-19
Gabielle,Brooks,PN792N,269.25,2020-01-19
Humberto,Brewer,ZK153K,317.5,2020-01-19
Humberto,Bowen,IW315W,922.77,2020-01-19
Humberto,Byrd,TV829V,179.95,2020-01-19
Humberto,Banks,IC867C,665.87,2020-01-19
Humberto,Blair,QX537X,923.33,2020-01-19
Humberto,Berg,LB454B,633.6,2020-01-19
Humberto,Alford,NI424I,937.37,2020-01-19
Michelle,Camacho,IE262E,446.63,2020-01-19
Michelle,Blair,ZF656F,842.55,2020-01-19
Michelle,Blanchard,XR400R,673.1,2020-01-19
Michelle,Buck,ZR928R,786.53,2020-01-19
Michelle,Bartlett,XR577R,321.85,2020-01-19
Michelle,Aguilar,AJ193J,437.95,2020-01-19
Nicholas,Blackburn,CJ275J,928.42,2020-01-19
Nicholas,Alexander,MN117N,423.78,2020-01-19
Nicholas,Andrews,UI227I,391.79,2020-01-19
Nicholas,Allison,RS462S,608.12,2020-01-19
Nicholas,Calderon,WG342G,863.34,2020-01-19
Philippe,Bright,ZU431U,273.89,2020-01-19
Philippe,Blackwell,WZ225Z,260.32,2020-01-19
Philippe,Baldwin,MO988O,975.48,2020-01-19
Philippe,Beard,RB290B,771.61,2020-01-19
Virginie,Brock,YQ219Q,608.3,2020-01-19
Virginie,Bryant,FO184O,515.73,2020-01-19
Virginie,Austin,NO122O,948.32,2020-01-19
Virginie,Buck,RY287Y,425.64,2020-01-19
Virginie,Cantrell,YA336A,649.96,2020-01-19
Virginie,Bush,KL231L,616.84,2020-01-19
Virginie,Bell,XV480V,438.25,2020-01-19
Claudette,Cantu,WA336A,409.78,2020-01-19
Claudette,Burton,RZ978Z,881.51,2020-01-19
Claudette,Best,CV898V,163.22,2020-01-19
Claudette,Bartlett,FK806K,956.7,2020-01-19
Claudette,Booker,XH683H,267.8,2020-01-19
Cristobal,Bass,TF226F,266.8,2020-01-19
Cristobal,Allison,AH188H,849.56,2020-01-19
Cristobal,Cash,NM109M,925.88,2020-01-19
Cristobal,Boyle,JJ801J,854.2,2020-01-19
Cristobal,Armstrong,YZ675Z,702.14,2020-01-19
Cristobal,Arnold,WD381D,658.7,2020-01-19
Cristobal,Calderon,YW425W,185.26,2020-01-19
Josephine,Cantu,OQ839Q,941.46,2020-01-19
Josephine,Ayala,PT200T,930.88,2020-01-19
Josephine,Abbott,QU563U,306.26,2020-01-19
Josephine,Andrews,YB797B,179.2,2020-01-19
